session_id,family,condition,omission_slot,contrast_name,warning_type,n_warnings,affected_metric_rows,affected_units_if_available,action_recommendation
230720,A-family,AAXB,p3,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,A-family,AXAB,p2,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,B-family,BBBX,p4,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,B-family,BBXA,p3,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,B-family,BXBA,p2,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,R-family,RRRX,p4,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,R-family,RRXR,p3,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230720,R-family,RXRR,p2,all_primary,load_failed,2,1086,181,"Verify file integrity, check shape and trial dimensions."
230721,A-family,AAAX,p4,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,A-family,AAXB,p3,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,A-family,AXAB,p2,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,B-family,BBBX,p4,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,B-family,BBXA,p3,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,B-family,BXBA,p2,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,R-family,RRRX,p4,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,R-family,RRXR,p3,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230721,R-family,RXRR,p2,all_primary,load_failed,2,1320,220,"Verify file integrity, check shape and trial dimensions."
230816,A-family,AAAX,p4,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,A-family,AAXB,p3,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,A-family,AXAB,p2,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,B-family,BBBX,p4,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,B-family,BBXA,p3,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,B-family,BXBA,p2,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,R-family,RRRX,p4,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,R-family,RRXR,p3,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230816,R-family,RXRR,p2,all_primary,load_failed,3,846,141,"Verify file integrity, check shape and trial dimensions."
230818,A-family,AAAX,p4,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,A-family,AAXB,p3,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,A-family,AXAB,p2,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,B-family,BBBX,p4,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,B-family,BBXA,p3,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,B-family,BXBA,p2,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,R-family,RRRX,p4,all_primary,load_failed,1,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,R-family,RRXR,p3,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230818,R-family,RXRR,p2,all_primary,load_failed,3,1152,192,"Verify file integrity, check shape and trial dimensions."
230823,A-family,AAAX,p4,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,A-family,AAXB,p3,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,A-family,AXAB,p2,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,B-family,BBBX,p4,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,B-family,BBXA,p3,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,B-family,BXBA,p2,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,R-family,RRRX,p4,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,R-family,RRXR,p3,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230823,R-family,RXRR,p2,all_primary,load_failed,3,1158,193,"Verify file integrity, check shape and trial dimensions."
230825,A-family,AAAX,p4,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,A-family,AAXB,p3,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,A-family,AXAB,p2,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,B-family,BBBX,p4,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,B-family,BBXA,p3,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,B-family,BXBA,p2,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,R-family,RRRX,p4,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,R-family,RRXR,p3,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230825,R-family,RXRR,p2,all_primary,load_failed,3,1038,173,"Verify file integrity, check shape and trial dimensions."
230830,A-family,AAAX,p4,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,A-family,AAXB,p3,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,A-family,AXAB,p2,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,B-family,BBBX,p4,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,B-family,BBXA,p3,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,B-family,BXBA,p2,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,R-family,RRRX,p4,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,R-family,RRXR,p3,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230830,R-family,RXRR,p2,all_primary,load_failed,3,3078,513,"Verify file integrity, check shape and trial dimensions."
230831,A-family,AAAX,p4,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,A-family,AAXB,p3,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,A-family,AXAB,p2,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,B-family,BBBX,p4,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,B-family,BBXA,p3,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,B-family,BXBA,p2,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,R-family,RRRX,p4,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,R-family,RRXR,p3,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230831,R-family,RXRR,p2,all_primary,load_failed,3,1482,247,"Verify file integrity, check shape and trial dimensions."
230901,A-family,AAAX,p4,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,A-family,AAXB,p3,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,A-family,AXAB,p2,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,B-family,BBBX,p4,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,B-family,BBXA,p3,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,B-family,BXBA,p2,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,R-family,RRRX,p4,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,R-family,RRXR,p3,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
230901,R-family,RXRR,p2,all_primary,load_failed,2,3048,508,"Verify file integrity, check shape and trial dimensions."
